ISIN,Entityname,Jurisdiction,Country,Sector,Issuedate,Maturitydate,couponfrequency,couponcurrency,issuecurrency,principalcurrency,Strips,InterestCommencementDate,Tradedate,Firstcoupondate,Penltmcdate,ExtendedMaturityDate,coupontype,bondtype,amountissued,issuanceCoupon,currentCoupon,margin,businessdays,daycount,Businessday_convention,calloption,stepupbond,convertible,perpetual,putoption,exchangeable,seriesNo,TrancheNo,NOI,seniority,sfc,slc,lfc,llc,BondDescription,ABS,DualCurrency,Class,BondClassification,isin144A,Cusip144A,Commoncode,IsinregS,Cusipregs,Regsccode,wkn,ISIN,CUSIPISIN,ISINCCode,Sedol,Valoren,reofferprice,issueprice,Minimumdenomination,mindenomination1,mindenomination2,IncDenomination,IncDenomination1,IncDenomination2,ratefixdays,Settlementdays,Collateral,FormofNotes,RecordDays,Nationalityofguarantor,Recorddate1,Recorddate12,Recorddate3,Recorddate4,Countryofissue,ProgramType,Indexlinked,UnderlyingIndex,Uindex,FRNBenchmark,BondListing,Index_referencepage1,Index_referencepage2,Finalredemptionvalue,RedemptionNotes,makewholecall,cleanupcall,Makewhole_bps,Makewhole Date,Floor,Cap,Governinglaw,methodofdistribution,Deal Type,Cumulative,Coupondeferral,Calltype,underlying_Equity,Conversiondate,exercisetype,Convertible_listing,ismandatory,conversionprice,conversionprice1,ispreferred,exnbondisin,conequityISIN,Conversion_Notes,ConversionRatio
XS1484811135,EI Sukuk Company Ltd.,Cayman Islands,Cayman Islands,Financial Services,2016-09-07,2021-05-31,6,USD,USD,USD,N,2016-09-07,,2016-11-30,2020-11-30,,Fixed,Fixed,"25,00,00,000",3.542%,3.542%,,,30/360,Following,N,N,N,N,N,N,2016-1,,Unsecured,Unsubordinated,Y,N,N,Y,"U.S.$ 250,000,000 Certificates due 2021",N,N,,Plain Vanilla Bond,,,,,,,,XS1484811135,,148481113,,,,102.853%,"2,00,000",,,"1,000",,,,,,Global Notes,,,,,,,Cayman Islands,Certificates Programme,N,,,,Irish Stock Exchange,,,100.000%,,N,N,,,,,,,,N,N,Cash,,,,,,,,,,,,
XS1431266920,CITIC Limited,Hong Kong,Hong Kong,Sovereign Agency,2016-06-14,2026-06-14,6,USD,USD,USD,N,2016-06-14,,2016-12-14,2025-12-14,,Fixed,Fixed,"75,00,00,000",3.700%,3.700%,,Luxembourg,30/360,Following,N,N,N,N,N,N,15,1,Unsecured,Senior,N,N,N,N,"U.S.$750,000,000 3.70 per cent. Notes due 2026",N,N,,Plain Vanilla Bond,,,,,,,,XS1431266920,,143126692,,,,99.875%,"2,00,000",,,"1,000",,,,,,Registered Notes,,,,,,,Hong Kong,Medium Term Note Programme,N,,,,Hong Kong Stock Exchange,,,100.000%,,N,N,,,,,,,,N,N,Cash,,,,,,,,,,,,
US17275RBD35,"Cisco Systems, Inc.",California (US),United States,Technology,2016-02-29,2021-02-28,6,USD,USD,USD,N,2016-02-29,2016-02-22,2016-08-28,2020-08-28,,Fixed,Fixed,"2,50,00,00,000",2.200%,2.200%,,,30/360,Following,N,N,N,N,N,N,,,Unsecured,Senior,Y,N,N,N,"$2,500,000,000 2.200% Senior Notes due 2021",N,N,,Plain Vanilla Bond,,,,,,,,US17275RBD35,17275RBD3,,,,,99.808%,"2,000",,,"1,000",,,,,,Dematerialised Notes,,,,,,,United States,,N,,,,Not Listed,,,100.000%,"Reference  Govt. Bond: 1.375% due January 31, 2021        Reference Govt. ISIN: US912828N894      ",Y,N,00:00.0,2016-02-29,,,United States,,,N,N,Cash,,,,,,,,,,,,
PTBBRROE0048,BANCO BPI S.A.,Portugal,Portugal,Banks,2015-03-30,2025-03-30,3,EUR,EUR,EUR,N,2015-03-30,,2015-06-30,2024-12-30,2026-12-30,Floating,Floating,"1,25,00,00,000",,,0.500%,,ACT/360,Following,N,N,N,N,N,N,,,Unsecured,Senior,N,N,N,N,"EUR1,250,000,000 Floating Rate Bond Due 2026",Y,N,,Covered Bond,,,,,,,,PTBBRROE0048,,,,,,100.000%,"1,00,000",,,,,,,,,Bearer Notes,,,,,,,Portugal,Covered Bond Programme,Y,,,3M EUR-EURIBOR,Irish Stock Exchange,,,100.000%,,N,N,,,,,,,ABS,N,N,Cash,,,,,,,,,,,,
XS1243170617,Lloyds Bank PLC,England and Wales,United Kingdom,Banks,2015-06-08,2030-06-08,12,EUR,EUR,EUR,N,2015-06-08,2015-06-01,2016-06-08,2029-06-08,,Fixed,Fixed,"5,00,00,000",1.700%,1.700%,,London,ACT/ACT (ICMA) ,Following,N,N,N,N,N,N,WMTN0173,1,Unsecured,Unsubordinated,N,N,N,N,"Issue of EUR 50,000,000 Fixed Rate Notes due June 2030",N,N,,Plain Vanilla Bond,,,,,,,,XS1243170617,,124317061,,,,100.000%,"10,00,000",,,,,,,,,Bearer Notes,,,,,,,United Kingdom,Global Medium Term Note Programme,N,,,,London Stock Exchange,,,100.000%,,N,N,,,,,United Kingdom,,,N,N,Cash,,,,,,,,,,,,
IT0005220998,BANCA CARIGE S.P.A. - CASSA DI RISPARMIO DI GENOVA E IMPERIA,Italy,Italy,Banks,2016-11-28,2022-01-25,3,EUR,EUR,EUR,N,2016-11-28,,2016-12-25,2021-12-25,,Floating,Floating,"83,00,00,000",,,1.500%,,ACT/360,Following,N,N,N,N,N,N,636,1,Unsecured,Unsubordinated,Y,Y,N,N,"Eur 830,000,000 Floating Rate Covered Bonds due 25 January 2022",Y,N,,Covered Bond,,,,,,,,IT0005220998,,,,,,100.000%,"1,00,000",,,,,,,,,,,,,,,,Italy,Covered Bond Programme,Y,,,3M EUR-EURIBOR,Luxembourg Stock Exchange,,,100.000%,,N,N,,,,,,,ABS,N,N,Cash,,,,,,,,,,,,
XS1707681752,BerLux S.A.,Luxembourg,Luxembourg,Financial Services,2017-10-20,2022-10-19,6,EUR,EUR,EUR,N,2017-10-20,,2018-04-19,2022-04-19,,Fixed,Fixed,"90,00,000",4.000%,4.000%,,,30/360,Following,N,N,N,N,N,N,1,1,Unsecured,Senior,Y,N,N,N,"EUR 9,000,000 Fixed Rate Notes 19 October 2022",N,N,,Plain Vanilla Bond,,,,,,,,XS1707681752,,170768175,,,,100.000%,"1,000",,,,,,,,,Dematerialised Notes,,,,,,,Luxembourg,,N,,,,Luxembourg Stock Exchange,,,100.000%,,N,N,,,,,Luxembourg,,,N,N,Cash,,,,,,,,,,,,
NO0010867864,Helgeland Sparebank,Norway,Norway,Banks,2019-11-07,2029-11-07,12,NOK,NOK,NOK,N,2019-11-07,,2020-11-07,2028-11-07,2030-11-07,Fixed,Fixed,"30,00,00,000",2.220%,2.220%,,,30/360,Following,N,N,N,N,N,N,,,Unsecured,Unsubordinated,N,N,N,N,"NOK 300,000,000 2.20% Fixed Rate Note due 2029",N,N,,Plain Vanilla Bond,,,,,,,,NO0010867864,,,,,,100.000%,"10,00,000",,,,,,,,,Registered Notes,,,,,,,Norway,,N,,,,Oslo Stock Exchange,,,100.000%,,N,N,,,,,Norway,,,N,N,Cash,,,,,,,,,,,,
INE033L07EO0,Tata Capital Housing Finance Limited,India,India,Financial Services,2016-04-12,2021-04-12,12,INR,INR,INR,N,2016-04-12,,2017-04-12,2020-04-12,,Fixed,Fixed,"1,20,00,00,000",8.730%,8.730%,,,ACT/ACT,,N,N,N,N,N,N,,,Secured,Senior,N,N,N,N,"INR 1,200,000,000 Secured, Redeemable Non-Convertible, Debentures due 2021",N,N,,Debenture,,,,,,,,INE033L07EO0,,,,,,100.000%,"10,00,000",,,,,,,,,Registered Notes,,,,,,,India,,N,,,,National Stock Exchange of India,,,100.000%,,N,N,,,,,,,,N,N,Cash,,,,,,,,,,,,
US842434CR16,SOUTHERN CALIFORNIA GAS COMPANY,California (US),United States,Utilities,2018-05-15,2048-06-01,6,USD,USD,USD,N,2018-05-15,2018-05-10,2018-12-01,2047-12-01,,Fixed,Fixed,"40,00,00,000",4.125%,4.125%,,,30/360,Following,Y,N,N,N,N,N,,,Unsecured,Senior,N,N,Y,N,"$400,000,000 4.125% First Mortgage Bonds, Series UU, due 2048",N,N,,Callable,,,,,,,,US842434CR16,842434CR1,,,,,99.895%,,,,,,,,,,,,,,,,,United States,,N,,,,Not Listed,,,100.000%,,N,N,,,,,,,,N,N,Cash,,,,,,,,,,,,
SE0012193860,Staangastaden AB,Sweden,Sweden,Municipal Agency,2019-09-27,2024-09-27,12,SEK,SEK,SEK,N,2019-02-27,2019-09-20,2020-09-27,2023-09-27,,Fixed,Fixed,"75,00,00,000",0.225%,0.225%,,Stockholm,30/360,Following,N,N,N,N,N,N,2,,Unsecured,Senior,N,N,Y,N,"SEK 750,000,000 Fixed Rate Bonds due 2024",N,N,,Plain Vanilla Bond,,,,,,,,SE0012193860,,,,,,100.000%,"20,00,000",,,,,,,,,Registered Notes,,,,,,,Sweden,Medium Term Note Programme,N,,,,Not Listed,,,100.000%,,N,N,,,,,Sweden,,,N,N,Cash,,,,,,,,,,,,
CA13607GFB55,Canadian Imperial Bank of Commerce,Canada,Canada,Banks,2019-08-28,2024-08-28,6,CAD,CAD,CAD,N,2019-08-28,,2020-02-28,2024-02-28,,Fixed,Fixed,"1,50,00,00,000",2.350%,2.350%,,Toronto,Not Available,Following,N,N,N,N,N,N,7277,,Unsecured,Unsubordinated,N,N,N,N,"CAD 1,500,000,000 Fixed Rate Bonds due 2024",N,N,,Plain Vanilla Bond,,,,,,,,CA13607GFB55,,,,,,100.000%,,,,,,,,,,Global Notes,,,,,,,Canada,,N,,,,Not Listed,,,100.000%,,N,N,,,,,Canada,,,N,N,Cash,,,,,,,,,,,,
US163086AA92,"Chefs Warehouse, Inc./The",Delaware (US),United States,Food & Beverage,2019-11-22,2024-12-01,6,USD,USD,USD,N,2019-11-22,,2020-06-01,2024-06-01,,Fixed,Convertible,"15,00,00,000",1.875%,1.875%,,New York,30/360,Following,N,N,Y,N,N,N,,,Unsecured,Senior,N,N,Y,N,"$150,000,000 1.875% Convertible Senior Notes due 2024",N,N,,Convertible Bond,US163086AA92,163086AA9,,,,,,US163086AB75,163086AB7,,,,,100.000%,"1,000",,,"1,000",,,,,,Registered Notes,,,15-May,15-Nov,,,United States,,N,,,,Not Listed,,,100.000%,,N,N,,,,,United States,Syndicate,,N,N,Cash,"Chefs Warehouse, Inc./The",2019-11-22,American,New York Stock Exchange,N,USD,0.02262,N,,,"Additional Equty Listing: NASDAQ    Conversion Rate: Initially means 22.6249 shares of Common Stock per $1,000 principal amount of Notes; provided, however, that the Conversion Rate is subject to adjustment pursuant to Article 5; provided, further, that whenever this Indenture refers to the Conversion Rate as of a particular date without setting forth a particular time on such date, such reference will be deemed to be to the Conversion Rate immediately after the Close of Business on such date.",22.6249
USU09513HK86,"BMW US Capital, LLC",Delaware (US),United States,Financial Services,2018-04-12,2028-04-12,6,USD,USD,USD,N,2018-04-12,2018-04-05,2018-10-12,2027-10-12,,Fixed,Fixed,"75,00,00,000",3.750%,3.750%,,,30/360,Following,Y,N,N,N,N,N,,,Unsecured,Unsubordinated,N,N,N,N,"U.S.$750,000,000 3.750% Notes due 2028 ",N,N,,Callable,US05565EAY14,05565EAY1,,USU09513HK86,U09513HK8,,,,,,,,,99.917%,"2,000",,,"1,000",,,,T+5,,Dematerialised Notes,,Germany,,,,,United States,,N,,,,Not Listed,,,100.000%,"Reference Govt. Bond: 2.750% due February 15, 2028    Reference Govt. ISIN: US9128283W81",Y,N,00:00.0,2018-04-12,,,,Syndicate,,N,N,Cash,,,,,,,,,,,,
XS1498549325,L Isolante K-Flex S.p.A.,Italy,Italy,Construction & Materials,2016-10-07,2023-10-07,12,EUR,EUR,EUR,N,2016-10-07,,2017-10-07,2022-10-07,,Fixed,Fixed,"18,00,00,000",4.250%,4.250%,,,30/360,Following,Y,N,N,N,N,N,,,Unsecured,Subordinated,N,N,N,N,"?180,000,000 4.25 per cent. Notes due October 2023",N,N,,Callable,,,,,,,,XS1498549325,,149854932,,,,100.000%,"1,99,000",,,,,,,,,Global Notes,,,,,,,Italy,,N,,,,Luxembourg Stock Exchange,,,100.000%,,N,N,,,,,Italy,,,N,N,Cash,,,,,,,,,,,,
XS1380394806,Ferrari N.V.,Netherlands,Netherlands,Automobiles & Parts,2016-03-16,2023-03-16,12,EUR,EUR,EUR,N,2016-03-16,,2017-03-16,2022-03-16,,Fixed,Fixed,"50,00,00,000",1.500%,1.500%,,,ACT/360,Following,N,N,N,N,N,N,,,Unsecured,Unsubordinated,N,N,N,N,"?500,000,000 1.500 per cent. Notes due 16 March 2023",N,N,,Plain Vanilla Bond,,,,,,,,XS1380394806,,138039480,,,,99.977%,"1,00,000",,,"1,000",,,,,,Global Notes,,,,,,,Netherlands,,N,,,,Irish Stock Exchange,,,100.000%,,N,N,,,,,Netherlands,,,N,N,Cash,,,,,,,,,,,,
XS1298740314,Banca IMI S.p.A.,Italy,Italy,Banks,2015-11-11,2022-11-11,12,EUR,EUR,EUR,N,2015-11-11,,2016-11-11,,,Variable,Variable,"2,00,00,000",2.000%,,,,,Following,N,N,N,N,N,N,7,,Unsecured,Senior,N,N,N,N,"USD 20,000,000 Euro Fix to Floater Rate Notes due to 11.11.2022 ",N,N,,Variable Bond,,,,,,,,XS1298740314,,129874031,,,,100.000%,"1,000",,,,,,,,,,,,,,,,Italy,,N,,,,Italian Stock Exchange,,,100.000%,,N,N,,,,,,,,N,N,Cash,,,,,,,,,,,,
